id,customer_id,product_id,rating,comment,created_at
1,1,1,5,Absolutely love this mouse! Very responsive and comfortable.,2024-01-20 11:00:00
2,2,3,4,Great keyboard, satisfying click. A bit loud for open offices.,2024-01-25 14:30:00
3,3,2,5,USB-C hub works perfectly with my laptop. No issues at all.,2024-02-01 09:45:00
4,4,8,3,Decent running shoes but sizing runs a bit small.,2024-02-05 16:00:00
5,5,10,5,Best backpack I have owned. Tons of compartments and very durable.,2024-02-10 10:20:00
6,6,12,4,Good earbuds for the price. Battery life could be better.,2024-02-15 13:35:00
7,7,5,2,Notebook paper is too thin, ink bleeds through easily.,2024-02-18 08:50:00
8,8,7,5,Desk lamp is bright and the dimmer works great. Highly recommend.,2024-02-22 17:10:00
9,9,9,4,Soft cotton shirt, fits true to size. Washes well.,2024-03-01 12:00:00
10,10,4,3,Monitor stand is sturdy but assembly instructions were unclear.,2024-03-05 15:45:00
11,1,12,5,Second pair I have bought. Sound quality is excellent.,2024-03-08 09:00:00
12,2,11,4,Water bottle keeps drinks cold all day. Love the design.,2024-03-10 11:20:00
13,3,8,5,Finally a shoe that fits my wide feet perfectly.,2024-03-12 14:00:00
14,4,1,4,Very smooth mouse. The scroll wheel is a little stiff.,2024-03-15 10:30:00
15,5,6,1,Pens stopped working after a week. Very disappointed.,2024-03-18 16:45:00
16,6,3,5,Best mechanical keyboard I have used. Worth every penny.,2024-03-20 13:00:00
17,7,2,4,Hub is solid. Would love an extra USB-A port.,2024-03-22 09:15:00
18,8,10,5,Backpack survived a rainstorm with everything still dry inside.,2024-03-25 17:30:00
19,9,7,3,Lamp looks nice but the cable is a bit short.,2024-03-28 11:00:00
20,10,9,5,Great quality shirt at a great price. Bought three colours.,2024-04-01 08:30:00
