id,customer_id,order_date,status,total
1,1,2024-01-15 11:00:00,completed,79.98
2,2,2024-01-18 14:30:00,completed,49.99
3,3,2024-01-22 09:45:00,completed,102.98
4,4,2024-02-02 10:00:00,completed,34.99
5,5,2024-02-08 13:20:00,shipped,114.98
6,6,2024-02-12 16:00:00,completed,6.99
7,7,2024-02-17 08:30:00,completed,94.98
8,8,2024-02-22 11:15:00,cancelled,74.99
9,9,2024-02-25 15:45:00,shipped,54.99
10,10,2024-03-03 10:30:00,pending,54.98
11,1,2024-03-05 09:00:00,completed,89.99
12,3,2024-03-08 14:00:00,completed,39.99
